ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
Player/AttackLeft1,1,10,,,,,,
,,,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FlipX,FlipY
graphics/Adventurer.png,0,320,32,32,32,32,0,0
graphics/Adventurer.png,32,320,32,32,32,32,0,0
graphics/Adventurer.png,64,320,32,32,32,32,0,0
graphics/Adventurer.png,96,320,32,32,32,32,0,0
graphics/Adventurer.png,128,320,32,32,32,32,0,0
graphics/Adventurer.png,160,320,32,32,32,32,0,0
graphics/Adventurer.png,192,320,32,32,32,32,0,0
graphics/Adventurer.png,224,320,32,32,32,32,0,0
graphics/Adventurer.png,256,320,32,32,32,32,0,0
graphics/Adventurer.png,288,320,32,32,32,32,0,0
