ID,LOOPTYPE (0: Single 1: Move),FPS
Mino/WheelWindLeft,0,10

TEXTURE ID,L,T,W,H,W,Y,FlipX,FlipY
graphics/Minotaur.png,0,1536,96,96,48,64,0,0
graphics/Minotaur.png,96,1536,96,96,48,64,0,0
graphics/Minotaur.png,192,1536,96,96,48,64,0,0
graphics/Minotaur.png,288,1536,96,96,48,64,0,0
graphics/Minotaur.png,384,1536,96,96,48,64,0,0
graphics/Minotaur.png,480,1536,96,96,48,64,0,0
graphics/Minotaur.png,576,1536,96,96,48,64,0,0
graphics/Minotaur.png,672,1536,96,96,48,64,0,0
graphics/Minotaur.png,768,1536,96,96,48,64,0,0
graphics/Minotaur.png,0,1632,96,96,48,64,0,0
graphics/Minotaur.png,96,1632,96,96,48,64,0,0
graphics/Minotaur.png,192,1632,96,96,48,64,0,0
